Designator,Mid X,Mid Y,Rotation,Layer
D1,175.955,-150.61,90.0,bottom
D10,347.405,-150.61,90.0,bottom
D11,366.455,-150.61,90.0,bottom
D12,385.505,-150.61,90.0,bottom
D13,404.555,-150.61,90.0,bottom
D14,461.705,-150.61,90.0,bottom
D15,175.955,-169.66,90.0,bottom
D16,195.005,-169.66,90.0,bottom
D17,214.055,-169.66,90.0,bottom
D18,233.105,-169.66,90.0,bottom
D19,252.155,-169.66,90.0,bottom
D2,195.005,-150.61,90.0,bottom
D20,271.205,-169.66,90.0,bottom
D21,290.255,-169.66,90.0,bottom
D22,309.305,-169.66,90.0,bottom
D23,328.355,-169.66,90.0,bottom
D24,347.405,-169.66,90.0,bottom
D25,366.455,-169.66,90.0,bottom
D26,385.505,-169.66,90.0,bottom
D27,404.555,-169.66,90.0,bottom
D28,433.13,-169.66,90.0,bottom
D29,180.7175,-188.71,90.0,bottom
D3,214.055,-150.61,90.0,bottom
D30,204.53,-188.71,90.0,bottom
D31,223.58,-188.71,90.0,bottom
D32,242.63,-188.71,90.0,bottom
D33,261.68,-188.71,90.0,bottom
D34,280.73,-188.71,90.0,bottom
D35,299.78,-188.71,90.0,bottom
D36,318.83,-188.71,90.0,bottom
D37,337.88,-188.71,90.0,bottom
D38,356.93,-188.71,90.0,bottom
D39,375.98,-188.71,90.0,bottom
D4,233.105,-150.61,90.0,bottom
D40,395.03,-188.71,90.0,bottom
D41,414.08,-188.71,90.0,bottom
D42,437.8925,-188.71,90.0,bottom
D43,183.09875,-207.76,90.0,bottom
D44,209.2925,-207.76,90.0,bottom
D45,228.3425,-207.76,90.0,bottom
D46,247.3925,-207.76,90.0,bottom
D47,266.4425,-207.76,90.0,bottom
D48,285.4925,-207.76,90.0,bottom
D49,304.5425,-207.76,90.0,bottom
D5,252.155,-150.61,90.0,bottom
D50,323.5925,-207.76,90.0,bottom
D51,342.6425,-207.76,90.0,bottom
D52,361.6925,-207.76,90.0,bottom
D53,380.7425,-207.76,90.0,bottom
D54,399.7925,-207.76,90.0,bottom
D55,430.74875,-207.76,90.0,bottom
D56,187.86125,-226.81,90.0,bottom
D57,218.8175,-226.81,90.0,bottom
D58,237.8675,-226.81,90.0,bottom
D59,256.9175,-226.81,90.0,bottom
D6,271.205,-150.61,90.0,bottom
D60,275.9675,-226.81,90.0,bottom
D61,295.0175,-226.81,90.0,bottom
D62,314.0675,-226.81,90.0,bottom
D63,333.1175,-226.81,90.0,bottom
D64,352.1675,-226.81,90.0,bottom
D65,371.2175,-226.81,90.0,bottom
D66,390.2675,-226.81,90.0,bottom
D67,416.46125,-226.81,90.0,bottom
D68,442.655,-226.81,90.0,bottom
D69,178.33625,-245.86,90.0,bottom
D7,290.255,-150.61,90.0,bottom
D70,202.14875,-245.86,90.0,bottom
D71,225.96125,-245.86,90.0,bottom
D72,297.39875,-245.86,90.0,bottom
D73,366.455,-245.86,90.0,bottom
D74,385.505,-245.86,90.0,bottom
D75,404.555,-245.86,90.0,bottom
D76,423.605,-245.86,90.0,bottom
D77,442.655,-245.86,90.0,bottom
D78,461.705,-245.86,90.0,bottom
D8,309.305,-150.61,90.0,bottom
D9,328.355,-150.61,90.0,bottom
S1,185.495,-149.41,0.0,top
S10,356.945,-149.41,0.0,top
S11,375.995,-149.41,0.0,top
S12,395.045,-149.41,0.0,top
S13,414.095,-149.41,0.0,top
S14,471.245,-149.41,0.0,top
